                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.7673,                0.55478,                0.88477,                0.81144,                0.83482,                0.86904,                0.67781,                0.86166,                0.62363,                0.92595,              0.0005446,              0.0005446,              0.0005446
                     48,                0.76706,                0.54915,                0.88259,                0.82532,                0.72675,                0.77945,                 0.5981,                0.84334,                  0.652,                0.91631,              0.0005347,              0.0005347,              0.0005347
                     49,                0.78568,                0.54522,                 0.8924,                0.77827,                0.80762,                0.80831,                0.62407,                0.83869,                0.63152,                0.91668,              0.0005248,              0.0005248,              0.0005248
                     50,                0.75881,                0.54201,                0.87885,                0.85075,                0.75753,                0.84361,                0.66086,                0.85315,                 0.6035,                0.92123,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.7686,                0.54137,                0.88871,                0.75689,                0.78186,                0.79874,                0.61584,                0.85763,                0.61655,                0.92335,               0.000505,               0.000505,               0.000505
                     52,                0.76163,                0.50917,                0.87573,                0.80472,                0.76777,                0.80642,                0.61452,                0.86203,                0.62591,                0.92056,              0.0004951,              0.0004951,              0.0004951
                     53,                0.74128,                0.52159,                 0.8748,                0.84055,                  0.815,                0.85624,                0.67231,                0.86518,                 0.6202,                0.91699,              0.0004852,              0.0004852,              0.0004852
                     54,                0.74057,                0.53848,                0.87507,                0.77865,                0.77656,                 0.7711,                0.59434,                0.86325,                0.64313,                0.92083,              0.0004753,              0.0004753,              0.0004753
                     55,                0.73849,                0.50598,                0.86856,                0.84806,                 0.8141,                0.84774,                0.65481,                0.85438,                0.60012,                0.91441,              0.0004654,              0.0004654,              0.0004654
                     56,                0.75088,                0.52435,                0.87332,                0.80673,                 0.7675,                0.79904,                0.61034,                0.85926,                0.62332,                0.91352,              0.0004555,              0.0004555,              0.0004555
                     57,                0.75654,                0.50112,                0.87574,                0.77245,                0.84241,                 0.8322,                0.64449,                0.86051,                0.63496,                 0.9093,              0.0004456,              0.0004456,              0.0004456
                     58,                0.73088,                0.48709,                0.86032,                0.78861,                0.79947,                0.83818,                0.65681,                0.84753,                0.63567,                0.91548,              0.0004357,              0.0004357,              0.0004357
                     59,                0.73978,                0.51687,                0.86308,                0.83674,                0.80626,                0.84576,                0.65859,                0.86051,                0.61828,                0.91248,              0.0004258,              0.0004258,              0.0004258
                     60,                0.73464,                0.48855,                0.86617,                0.78125,                0.81425,                0.84034,                0.64762,                0.85119,                 0.6197,                0.91241,              0.0004159,              0.0004159,              0.0004159
                     61,                0.71686,                0.48491,                0.87425,                0.81511,                0.82528,                0.83993,                  0.645,                0.87916,                0.62898,                0.93143,               0.000406,               0.000406,               0.000406
                     62,                0.70281,                0.46377,                0.85066,                 0.8681,                0.76418,                0.82365,                0.64165,                0.85372,                0.63761,                0.92524,              0.0003961,              0.0003961,              0.0003961
                     63,                0.73531,                0.47513,                0.87528,                0.84781,                0.82847,                0.85646,                0.67549,                0.83981,                0.63027,                0.91497,              0.0003862,              0.0003862,              0.0003862
                     64,                0.72394,                0.48978,                0.87487,                0.83763,                0.71953,                0.82114,                0.64655,                0.83126,                0.61492,                0.91255,              0.0003763,              0.0003763,              0.0003763
                     65,                0.71144,                0.47444,                0.86955,                0.78304,                0.76733,                0.78842,                0.61271,                0.82716,                 0.6423,                0.90787,              0.0003664,              0.0003664,              0.0003664
                     66,                0.72247,                0.47895,                0.86296,                0.85625,                0.79166,                0.80851,                0.63264,                0.85262,                0.63081,                 0.9152,              0.0003565,              0.0003565,              0.0003565
                     67,                0.69825,                0.47469,                0.86571,                0.83318,                0.72964,                0.78113,                0.60845,                0.85844,                0.62094,                 0.9165,              0.0003466,              0.0003466,              0.0003466
                     68,                0.70423,                0.47917,                0.86622,                0.71749,                0.80166,                0.80888,                 0.6309,                0.84995,                0.60945,                0.91431,              0.0003367,              0.0003367,              0.0003367
                     69,                0.69252,                0.45628,                0.85976,                0.81186,                0.79631,                 0.8253,                0.65082,                0.85029,                0.61436,                0.91135,              0.0003268,              0.0003268,              0.0003268
                     70,                0.70446,                0.45981,                0.85934,                0.87858,                0.75722,                0.80745,                 0.6311,                0.83864,                0.62243,                0.91942,              0.0003169,              0.0003169,              0.0003169
